"","Y","X1","X2","X3","X4","X5","X6","Lat","Longi"
"605",11.65918797,15,19,3,0,0,0.013925492,38.033676,-121.349544
"606",11.31447453,12,41,3,0,0,0.034147214,38.013652,-121.32036
"607",12.12269104,17,31,3,0,0,0.003405865,38.00226,-121.3562
"608",11.75587164,13,34,3,0,0,0.000890988,38.00292,-121.351856
"609",12.06968002,17,16,3,0,0,0.00156347,37.979188,-121.345512
"610",12.13350195,25.42,10,5,0,0,0.00384091,38.03938,-121.36248
"611",11.10495723,10,84,2,0,0,0.031155942,37.956116,-121.301816
"612",11.2185544,12,38,3,1,0,0.010271188,37.961456,-121.32616
"613",11.85651517,23,33,4,1,0,0.000423216,37.975872,-121.34304
"614",11.15482093,10,41,3,0,0,0.06857868,37.974205,-121.268646
"615",11.88448902,17,79,3,0,1,0.036967364,37.971392,-121.301376
"616",11.76368418,18,68,3,1,1,0.026306102,37.964604,-121.310208
"617",11.54248427,13,21,4,0,1,0.069578765,38.023848,-121.286336
"618",12.46843691,25,45,3,0,0,0.022513783,37.964188,-121.36224
"619",11.66992921,17,52,3,0,0,0.031786283,37.971512,-121.30696
"620",11.57119437,13,26,3,1,0,0.01466643,38.026584,-121.346072
"621",11.39639165,10,72,2,0,1,0.011058544,37.960656,-121.325016
"622",11.51292546,14,71,3,0,0,0.028623373,37.96502,-121.307888
"623",11.3736634,10,40,3,0,0,0.035351544,38.014328,-121.319328
"624",11.82407989,14,4,3,0,0,0.090223289,38.021872,-121.26352
"625",11.79433792,18.23,74,3,0,0,0.02438394,37.974388,-121.31596
"626",12.56024446,29,18,3,1,1,0.09995218,38.02598,-121.254672
"627",11.66992921,15,20,3,1,0,0.022163541,38.036488,-121.3418
"628",12.5776362,26,19,3,0,0,0.012364677,38.006216,-121.367272
"629",11.86428631,23,39,3,1,0,0.036800795,38.005048,-121.314272
"630",11.22390917,12,47,3,0,0,0.004080279,37.970332,-121.344856
"631",11.35040654,9,48,2,0,1,0.008444725,37.969436,-121.331128
"632",11.35040654,11,79,2,0,0,0.013213385,37.957204,-121.321408
"633",11.26446411,11,39,3,1,0,0.052201714,38.008456,-121.299096
"634",12.62642637,27,6,4,0,0,0.018122093,37.980952,-121.36388
"635",12.27839331,19.91,18,3,0,0,0.00865085,37.998896,-121.34204
"636",12.27839331,26.83,3,5,0,0,0.024184713,38.054252,-121.346352
"637",11.97665948,21.88,74,3,0,0,0.036805037,37.972944,-121.302136
"638",11.77528973,15.64,7,3,1,0,0.022817918,38.045876,-121.344648
"639",11.69483027,14.62,58,3,1,0,0.03258364,37.97616,-121.307864
"640",11.40756495,11.58,21,3,0,0,0.070249455,38.02384,-121.285616
"641",11.12726298,8.03,11,2,0,0,0.084194673,37.978756,-121.253672
"642",12.27839331,32.78,41,4,1,0,0.029625441,37.97048,-121.30888
"643",11.22524339,9.65,48,3,0,1,0.008235842,37.960652,-121.328032
"644",11.73606902,17.25,32,3,0,0,0.020797263,38.023096,-121.3382
"645",12.10430013,22.69,29,5,1,0,0.032448316,38.026968,-121.327208
"646",12.17018637,17.64,38,3,1,1,0.020476679,38.041772,-121.3456
"647",11.80110741,15.52,20,3,0,0,0.009382959,38.033316,-121.354264
"648",11.12726298,8.16,87,2,0,0,0.010698852,37.957352,-121.324152
"649",12.68230682,26.38,3,4,0,1,0.01351176,37.97818,-121.357904
"650",11.25803322,9.99,59,2,1,0,0.02010033,37.956596,-121.313816
"651",11.32055357,10.77,60,2,0,0,0.016414367,37.960988,-121.319416
"652",11.55214618,15.41,26,4,0,1,0.054404318,38.024468,-121.302792
"653",11.54248427,9.95,57,2,0,0,0.041943045,37.977148,-121.298232
"654",11.67419361,14.24,59,3,1,0,0.042682982,37.990864,-121.302624
"655",11.71177632,14.31,24,3,0,0,0.011068717,38.026928,-121.350048
"656",12.05815252,20.61,43,3,0,0,0.013327707,38.004844,-121.339288
"657",11.66950177,11.97,36,3,0,1,0.110174569,38.0466,-121.251536
"658",11.607781,12.42,14,3,1,1,0.001528018,37.998596,-121.352808
"659",11.8493977,16.44,19,3,0,1,0.037618189,38.040916,-121.326952
"660",12.07254125,18.71,28,3,0,0,0.007207875,37.995262,-121.35762
"661",11.88448902,22.26,19,4,1,0,0.008429689,38.033816,-121.355472
"662",12.27816072,19.31,42,3,0,1,0.013094717,38.00482,-121.339528
"663",11.81303006,16.36,43,3,0,0,0.027350657,38.021248,-121.330496
"664",12.19602231,24.06,27,4,0,0,0.00628916,37.995564,-121.356752
"665",11.32659589,11.03,58,2,1,0,0.026622134,37.970452,-121.31208
"666",11.32659589,8.89,48,2,1,0,0.040796169,37.98686,-121.303128
"667",12.01370075,15.16,31,3,1,1,0.003390312,38.002304,-121.3562
"668",11.64395373,14.09,34,3,1,0,0.011582804,38.016188,-121.34544
